song_title,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Coldest Winter,0.171,0.761,164333,0.516,3.21E-06,0,0.265,-10.229,1,0.044,133.999,4,0.562
Pinocchio Story - Freestyle / Live From Singapore,0.95,0.341,361600,0.281,0,10,0.948,-13.204,0,0.0501,74.997,4,0.306
Pinocchio Story,0.95,0.341,361600,0.281,0,10,0.948,-13.204,0,0.0501,74.997,4,0.306
Good Morning,0.0791,0.48,195093,0.631,0.000105,7,0.149,-5.488,1,0.116,84.164,4,0.515
Champion,0.00299,0.693,167600,0.504,0,6,0.695,-8.306,1,0.238,102.139,4,0.723
Stronger,0.00564,0.617,311867,0.717,0,10,0.408,-7.858,0,0.153,103.992,4,0.49
I Wonder,0.141,0.542,243440,0.466,0.000445,0,0.125,-8.665,1,0.0831,191.385,4,0.124
Good Life,0.00305,0.439,207000,0.808,0,1,0.439,-6.881,1,0.346,82.962,4,0.487
Can't Tell Me Nothing,0.0122,0.596,271600,0.62,0,5,0.82,-6.133,0,0.039,80.029,4,0.102
Barry Bonds,0.0451,0.48,204307,0.624,0,1,0.337,-6.131,1,0.382,165.057,4,0.704
Drunk and Hot Girls,0.0697,0.661,313227,0.442,1.15E-05,10,0.136,-7.297,0,0.0285,82.758,3,0.299
Flashing Lights,0.0381,0.639,237507,0.628,0,6,0.386,-7.578,0,0.0399,90.482,4,0.43
Everything I Am,0.463,0.631,227893,0.623,1.70E-06,8,0.151,-6.969,1,0.265,80.23,4,0.765
The Glory,0.0455,0.423,212707,0.643,0,6,0.172,-7.261,1,0.287,84.336,4,0.708
Homecoming,0.337,0.667,203493,0.747,0,1,0.115,-7.059,1,0.189,86.917,4,0.918
Big Brother,0.214,0.498,287560,0.742,0,11,0.0642,-6.248,0,0.259,78.428,4,0.302
Good Night,0.177,0.696,185973,0.526,0,11,0.192,-10.504,0,0.171,88.931,4,0.703
Good Night - [Bonus Track],0.194,0.704,186360,0.548,0,2,0.121,-9.7,1,0.188,88.927,4,0.692
Can't Tell Me Nothing - Remix feat. Young Jeezy,0.0105,0.526,247573,0.611,0,5,0.613,-6.701,0,0.0379,79.901,4,0.0971
Stronger - A-Trak Remix,0.00405,0.73,276147,0.797,0.00049,1,0.0723,-4.981,1,0.119,126,4,0.382
Stronger - AD Remix Main,0.00677,0.721,285880,0.91,0.0166,3,0.0754,-5.439,0,0.0336,124.009,4,0.73
Diamonds From Sierra Leone - Live At Abbey Road Studios,0.321,0.433,247600,0.884,0,7,0.706,-4.676,1,0.348,111.073,5,0.322
Touch The Sky - Live At Abbey Road Studios,0.251,0.697,246453,0.768,0,11,0.921,-6.658,0,0.283,106.682,4,0.39
Crack Music - Live At Abbey Road Studios,0.0251,0.519,167853,0.722,0,2,0.548,-6.951,1,0.378,83.207,4,0.173
Drive Slow - Live At Abbey Road Studios,0.177,0.545,273760,0.786,0,6,0.116,-6.528,1,0.328,87.743,4,0.543
Through The Wire - Live At Abbey Road Studios,0.00435,0.398,212773,0.804,0,7,0.28,-6.667,1,0.338,79.267,4,0.643
Workout Plan - Live At Abbey Road Studios,0.0102,0.634,171667,0.74,0,2,0.655,-6.606,1,0.186,117.871,4,0.335
Heard 'Em Say - Live At Abbey Road Studios,0.646,0.53,249533,0.769,4.28E-06,10,0.972,-8.449,1,0.231,94.525,4,0.193
All Falls Down - Live At Abbey Road Studios,0.198,0.565,193040,0.86,0,10,0.499,-7.069,0,0.461,90.428,4,0.529
Bring Me Down - Live At Abbey Road Studios,0.0755,0.432,200467,0.716,0,9,0.346,-7.17,1,0.14,79.724,4,0.46
Gone - Live At Abbey Road Studios,0.178,0.662,254373,0.776,0,2,0.372,-6.339,1,0.345,92.836,4,0.233
Late - Live At Abbey Road Studios,0.0595,0.297,234187,0.81,1.85E-05,10,0.666,-5.819,0,0.45,79.36,4,0.422
Jesus Walks - Live At Abbey Road Studios,0.337,0.432,193627,0.873,0,3,0.444,-6.038,0,0.465,77.108,1,0.533
Gold Digger - AOL Sessions,0.0404,0.674,197960,0.681,0,1,0.136,-9.681,0,0.39,92.313,4,0.732
Wake Up Mr. West,0.817,0.746,41067,0.306,0,10,0.0657,-9.765,1,0.93,73.346,5,0.704
Heard 'Em Say,0.0535,0.744,203733,0.696,0.0454,7,0.128,-8.313,0,0.162,95.07,4,0.563
Touch The Sky,0.0114,0.552,236600,0.846,0,9,0.309,-4.912,1,0.342,98.56,1,0.554
Gold Digger,0.0195,0.629,207627,0.696,0,1,0.0554,-5.572,0,0.348,93.034,4,0.623
Skit #1,0.467,0.825,33573,0.307,0,10,0.146,-12.543,1,0.911,53.629,3,0.748
Drive Slow,0.0306,0.593,272227,0.593,9.94E-06,11,0.229,-8.216,1,0.289,81.291,1,0.488
My Way Home,0.33,0.593,103373,0.596,0,8,0.0976,-10.488,1,0.0408,86.965,4,0.776
Crack Music,0.00975,0.726,270867,0.712,0.000477,11,0.345,-6.288,0,0.209,168.121,5,0.554
Roses,0.259,0.723,245867,0.465,2.70E-05,3,0.108,-6.454,0,0.0952,97.702,4,0.513
Bring Me Down,0.00592,0.385,198973,0.691,0,6,0.595,-6.919,0,0.0924,111.278,5,0.352
Addiction,0.184,0.504,267067,0.756,0,1,0.252,-8.318,0,0.185,115.264,4,0.55
Skit #2,0.253,0.731,31360,0.412,0,11,0.164,-11.59,0,0.946,66.512,4,0.95
Diamonds From Sierra Leone - Remix,0.258,0.672,233400,0.814,0,7,0.164,-3.768,1,0.27,97.043,4,0.379
We Major,0.0107,0.234,448000,0.88,0,11,0.045,-3.66,0,0.123,85.641,4,0.216
Skit #3,0.599,0.64,24133,0.451,0,7,0.467,-11.984,1,0.956,166.546,3,0.6
Hey Mama,0.0593,0.583,305067,0.754,0,7,0.113,-6.993,1,0.223,95.784,4,0.347
Celebration,0.0164,0.295,198440,0.776,1.41E-06,10,0.118,-4.199,1,0.213,79.992,4,0.35
Skit #4,0.0411,0.722,78667,0.258,0,10,0.148,-19.633,0,0.873,118.732,3,0.141
Gone,0.015,0.842,333293,0.668,0,1,0.0699,-6.043,1,0.26,92.703,4,0.345
Diamonds From Sierra Leone - Bonus Track,0.148,0.435,238400,0.846,0,7,0.306,-3.458,1,0.263,100.771,4,0.57
Late,0.197,0.334,230493,0.843,3.95E-06,10,0.295,-5.928,0,0.173,75.281,4,0.616
Skit #1 (Kanye West/Late Registration),0.467,0.825,33573,0.307,0,10,0.146,-12.543,1,0.911,53.629,3,0.748
Skit #2 (Kanye West/Late Registration),0.284,0.796,31333,0.421,0,1,0.129,-11.584,0,0.921,150.365,4,0.936
Skit #3 (Kanye West/Late Registration),0.599,0.64,24133,0.451,0,7,0.467,-11.984,1,0.956,166.546,3,0.6
Skit #4 (Kanye West/Late Registration),0.0411,0.722,78667,0.258,0,10,0.148,-19.633,0,0.873,118.732,3,0.141
Diamonds From Sierra Leone,0.148,0.435,238400,0.846,0,7,0.306,-3.458,1,0.263,100.771,4,0.57
We Can Make It Better,0.154,0.657,232000,0.686,6.81E-06,1,0.142,-6.085,0,0.0874,96.921,4,0.434
Intro,0.237,0.713,19133,0.331,0,6,0.51,-13.909,1,0.877,87.491,3,0.463
We Don't Care,0.0142,0.595,239880,0.754,0,11,0.247,-5.827,0,0.181,83.155,4,0.647
Graduation Day,0.684,0.418,81787,0.447,2.10E-06,0,0.414,-9.058,0,0.338,169.336,4,0.869
All Falls Down,0.149,0.657,223507,0.734,0,8,0.139,-4.832,0,0.484,91.03,4,0.434
I'll Fly Away,0.76,0.239,69707,0.25,0,6,0.124,-11.414,1,0.0289,172.338,4,0.564
Spaceship,0.503,0.507,324227,0.753,0,5,0.573,-5.31,0,0.19,178.068,3,0.657
Jesus Walks,0.614,0.637,193733,0.834,0,3,0.317,-4.686,0,0.323,87.312,4,0.715
Never Let Me Down,0.423,0.459,324440,0.816,0,11,0.169,-4.872,0,0.403,80.293,4,0.643
Get Em High,0.184,0.614,289493,0.644,0,11,0.489,-5.672,0,0.373,84.788,4,0.649
Workout Plan,0.785,0.715,46173,0.288,0,1,0.688,-13.843,1,0.925,115.114,4,0.772
The New Workout Plan,0.00981,0.704,322800,0.792,0,2,0.365,-4.831,1,0.198,118.022,4,0.646
Slow Jamz,0.314,0.559,316053,0.733,0,2,0.284,-5.659,0,0.171,145.115,4,0.611
Breathe In Breathe Out,0.341,0.636,246933,0.7,0,1,0.161,-3.099,0,0.421,88.817,4,0.924
School Spirit Skit 1,0.326,0.648,78693,0.218,0,8,0.352,-15.108,1,0.95,164.25,5,0.642
School Spirit,0.339,0.483,182387,0.787,0,5,0.236,-5.422,0,0.21,84.81,4,0.592
School Spirit Skit 2,0.334,0.716,43533,0.308,0,5,0.215,-12.629,1,0.925,128.412,3,0.83
Lil Jimmy Skit,0.803,0.64,53640,0.279,0,10,0.375,-12.396,1,0.484,82.475,4,0.741
Two Words,0.0158,0.442,266213,0.807,6.43E-06,6,0.217,-4.753,1,0.265,84.649,4,0.446
Through The Wire,0.00865,0.571,221227,0.739,5.21E-06,7,0.158,-6.11,1,0.247,83.089,4,0.66
Family Business,0.139,0.744,278893,0.524,0,1,0.392,-7.452,1,0.21,93.691,4,0.606
Last Call,0.577,0.473,760973,0.727,0,8,0.316,-6.843,1,0.356,83.212,4,0.854
Never Let Me Down - Album Version (Edited),0.378,0.464,324440,0.819,0,11,0.191,-4.703,0,0.394,82.103,4,0.636
